player_id,player_name,name_first,name_last,hand,dob,ioc,height,wikidata_id,atp_rank,atp_points,elo,elo_rank,best_surface,best_surface_elo,historical_matches,prediction_appearances,wins,losses,win_loss_record,last_match_date,is_active
104608,Rodrigo Guidolin,Rodrigo,Guidolin,R,19850920.0,BRA,,Q10363871,,,,,,,0,0,0,0,0-0,,False
104609,Omar Hedayet,Omar,Hedayet,R,19850921.0,EGY,,,,,,,,,0,0,0,0,0-0,,False
104610,Ashwin Kumar,Ashwin,Kumar,R,19850923.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104611,Marcos Facundo Oliveira,Marcos,Facundo Oliveira,L,19850923.0,BRA,,,,,,,,,0,0,0,0,0-0,,False
104612,Daniel Yoo,Daniel,Yoo,L,19850925.0,KOR,,Q40717813,,,,,,,0,0,0,0,0-0,,False
104613,Candy Idoko,Candy,Idoko,R,19850927.0,NGR,175.0,,,,,,,,0,0,0,0,0-0,,False
104614,Javier Foronda Bolanos,Javier,Foronda Bolanos,U,19850928.0,ESP,,,,,,,,,0,0,0,0,0-0,,False
104615,Ranjeet Virali Murugesan,Ranjeet,Virali Murugesan,U,19850930.0,IND,,Q55386851,,,,,,,0,0,0,0,0-0,,False
104616,Ahmed Shebl Morsy,Ahmed,Shebl Morsy,R,19851001.0,EGY,,,,,,,,,0,0,0,0,0-0,,False
104617,Arjun Goutham,Arjun,Goutham,R,19851002.0,IND,,,,,,,,,0,0,0,0,0-0,,False
104621,Juan Manuel Valverde,Juan Manuel,Valverde,R,19851010.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
104622,Massimo Capone,Massimo,Capone,R,19851012.0,ITA,,,,,,,,,0,0,0,0,0-0,,False
104624,Joshua Goodall,Joshua,Goodall,R,19851017.0,GBR,188.0,,,,,,,,0,0,0,0,0-0,,False
104625,Dominic Ross Hurst,Dominic Ross,Hurst,R,19851019.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104626,Christophe Lenzi,Christophe,Lenzi,U,19851023.0,FRA,,,,,,,,,0,0,0,0,0-0,,False
104627,Boy Westerhof,Boy,Westerhof,R,19851024.0,NED,,Q4952144,,,,,,,0,0,0,0,0-0,,False
104630,Joao Wiesinger,Joao,Wiesinger,R,19851030.0,BRA,,,,,,,,,0,0,0,0,0-0,,False
104631,Harshana Godamanna,Harshana,Godamanna,L,19851031.0,SRI,,Q28777597,,,,,,,0,0,0,0,0-0,,False
104632,Robert Hodel,Robert,Hodel,R,19851103.0,GER,,,,,,,,,0,0,0,0,0-0,,False
104634,Travis Helgeson,Travis,Helgeson,U,19851109.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104636,Yao Lun Chang,Yao Lun,Chang,R,19851114.0,TPE,,,,,,,,,0,0,0,0,0-0,,False
104637,Luiz Guilherme Deneka,Luiz Guilherme,Deneka,U,19851116.0,BRA,,,,,,,,,0,0,0,0,0-0,,False
104638,Nestor Briceno,Nestor,Briceno,R,19851117.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104640,Pablo Galdon,Pablo,Galdon,R,19851128.0,ARG,,Q7121626,,,,,,,0,0,0,0,0-0,,False
104641,Dawid Celt,Dawid,Celt,R,19851129.0,POL,,Q24428593,,,,,,,0,0,0,0,0-0,,False
104642,Valentine Kassatkine,Valentine,Kassatkine,U,19851129.0,RUS,,,,,,,,,0,0,0,0,0-0,,False
104643,Alexander Pavlioutchenkov,Alexander,Pavlioutchenkov,R,19851203.0,RUS,,Q55183493,,,,,,,0,0,0,0,0-0,,False
104645,Michel Meijer,Michel,Meijer,U,19851206.0,NED,,,,,,,,,0,0,0,0,0-0,,False
104647,Bumpei Sato,Bumpei,Sato,R,19851216.0,JPN,,Q16302668,,,,,,,0,0,0,0,0-0,,False
104648,Rafael Farias,Rafael,Farias,U,19851217.0,BRA,,,,,,,,,0,0,0,0,0-0,,False
104649,Juan De Armas,Juan,De Armas,R,19851219.0,VEN,,,,,,,,,0,0,0,0,0-0,,False
104650,Philippe De Bonnevie,Philippe,De Bonnevie,L,19851220.0,FRA,,,,,,,,,0,0,0,0,0-0,,False
104652,Todd Paul,Todd,Paul,L,19851226.0,USA,180.0,,,,,,,,0,0,0,0,0-0,,False
104653,Mark Mccook,Mark,Mccook,U,19851228.0,AUS,,,,,,,,,0,0,0,0,0-0,,False
104654,Baris Erguden,Baris,Erguden,R,19860101.0,TUR,,Q28968039,,,,,,,0,0,0,0,0-0,,False
104656,Haydn Lewis,Haydn,Lewis,L,19860102.0,BAR,,Q5686461,,,,,,,0,0,0,0,0-0,,False
104657,Stefan Kilchhofer,Stefan,Kilchhofer,R,19860103.0,SUI,,,,,,,,,0,0,0,0,0-0,,False
104658,Gustavo Ramirez,Gustavo,Ramirez,U,19860105.0,PAR,,,,,,,,,0,0,0,0,0-0,,False
104659,Marc Andre Stratling,Marc Andre,Stratling,U,19860106.0,GER,,,,,,,,,0,0,0,0,0-0,,False
104662,Eladio Ribeiro Neto,Eladio,Ribeiro Neto,R,19860109.0,BRA,,,,,,,,,0,0,0,0,0-0,,False
104663,Sebastien Louis,Sebastien,Louis,U,19860114.0,FRA,,,,,,,,,0,0,0,0,0-0,,False
104664,Nicolas Rosenzweig,Nicolas,Rosenzweig,U,19860117.0,FRA,,,,,,,,,0,0,0,0,0-0,,False
104666,Pedro Clar Rossello,Pedro,Clar Rossello,R,19860123.0,ESP,,,,,,,,,0,0,0,0,0-0,,False
104668,David Diaz Ventura,David Diaz,Ventura,U,19860124.0,ESP,,,,,,,,,0,0,0,0,0-0,,False
104669,Julien Gely,Julien,Gely,R,19860124.0,FRA,,,,,,,,,0,0,0,0,0-0,,False
104670,Patrick Jozwik,Patrick,Jozwik,R,19860125.0,AUS,,,,,,,,,0,0,0,0,0-0,,False
104671,Miles Kasiri,Miles,Kasiri,R,19860129.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104673,Julio Cesar Campozano,Julio Cesar,Campozano,R,19860131.0,ECU,,Q6309210,,,,,,,0,0,0,0,0-0,,False
104674,Bertram Steinberger,Bertram,Steinberger,R,19860201.0,AUT,,Q4895819,,,,,,,0,0,0,0,0-0,,False
104675,Rudolf Siwy,Rudolf,Siwy,R,19860204.0,CZE,175.0,,,,,,,,0,0,0,0,0-0,,False
104679,Jamie Murray,Jamie,Murray,L,19860213.0,GBR,191.0,Q317820,,,,,,,0,0,0,0,0-0,,False
104680,Bruno Rosa,Bruno,Rosa,R,19860214.0,BRA,,,,,,,,,0,0,0,0,0-0,,False
104681,Sebastian Rieschick,Sebastian,Rieschick,R,19860215.0,GER,,Q105579,,,,,,,0,0,0,0,0-0,,False
104682,Peter Miklusicak,Peter,Miklusicak,R,19860216.0,SVK,,,,,,,,,0,0,0,0,0-0,,False
104683,Gustavo Sterin,Gustavo,Sterin,R,19860220.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
